input_text,target_text
"Base caption: A woman is mysteriously smiling, and a man looks at her
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
","A woman is mysteriously smiling, and a man looks at her"
"Base caption: Three girls and one man are amazed and interested in what they saw
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Three girls and one man are amazed and interested in what they saw
"Base caption: Man looks happy
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Man looks happy
"Base caption: Kids are happy and enjoy first snow in the year
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Kids are happy and enjoy first snow in the year
"Base caption: The man is trying to harm the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is trying to harm the other man
"Base caption: A woman is smiling because she poses on some fashion exhibition
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A woman is smiling because she poses on some fashion exhibition
"Base caption: The calm man is fixing something in the tube
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The calm man is fixing something in the tube
"Base caption: The fat woman is happy to sing on the stage
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The fat woman is happy to sing on the stage
"Base caption: The man and the woman are curious about something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man and the woman are curious about something
"Base caption: The woman is worried about the shocked man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is worried about the shocked man
"Base caption: Scared woman protecting her kid
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Scared woman protecting her kid
"Base caption: Man looks aggressive and decisive, he just killed some person
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","Man looks aggressive and decisive, he just killed some person"
"Base caption: The woman is angry at the man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is angry at the man
"Base caption: The woman is crying
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is crying
"Base caption: The woman is trying to harm the scared man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is trying to harm the scared man
"Base caption: The old man is happy
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The old man is happy
"Base caption: The group of people are thinking about something
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The group of people are thinking about something
"Base caption: Woman looks indifferent and calm
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Woman looks indifferent and calm
"Base caption: Concentrated man is preparing for a baseball pitch
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",Concentrated man is preparing for a baseball pitch
"Base caption: A woman tries to help the man and treat his injury, and the man looks serious and in pain
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","A woman tries to help the man and treat his injury, and the man looks serious and in pain"
"Base caption: Man is troubled because kite rope entangled in some junk on the ground
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Man is troubled because kite rope entangled in some junk on the ground
"Base caption: Man is disappointed in another calm man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Man is disappointed in another calm man
"Base caption: The woman is screaming in pain
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is screaming in pain
"Base caption: Two interested kids are hiding from someone
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two interested kids are hiding from someone
"Base caption: The couple is happy to have a romantic dinner
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The couple is happy to have a romantic dinner
"Base caption: The man and the woman are happy to get marred
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man and the woman are happy to get marred
"Base caption: Two men are scared of something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two men are scared of something
"Base caption: The man and the woman are shocked by something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man and the woman are shocked by something
"Base caption: Two men are shooting something
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",Two men are shooting something
"Base caption: A policeman and a policewoman look serious and concentrated because they have to conduct an investigation and find some clues
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",A policeman and a policewoman look serious and concentrated because they have to conduct an investigation and find some clues
"Base caption: Women are surprised and confused, but they smiling
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
","Women are surprised and confused, but they smiling"
"Base caption: The happy couple is in a center of attention
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The happy couple is in a center of attention
"Base caption: An old man looks surprised with the answer of the girl
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",An old man looks surprised with the answer of the girl
"Base caption: Old man calms down young friend
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Old man calms down young friend
"Base caption: The three military men are concentrated on their speech
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The three military men are concentrated on their speech
"Base caption: The calm man along with the woman are telling about something on tv show
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The calm man along with the woman are telling about something on tv show
"Base caption: A man looks insistent and asks to to take homeless cats which he carries in the box
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",A man looks insistent and asks to to take homeless cats which he carries in the box
"Base caption: Two men are shocked by something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two men are shocked by something
"Base caption: The group of people is having fun
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The group of people is having fun
"Base caption: The angry woman is arguing with the man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The angry woman is arguing with the man
"Base caption: The girl is happy to see her boyfriend
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The girl is happy to see her boyfriend
"Base caption: Women have different emotions but all are excited
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Women have different emotions but all are excited
"Base caption: The calm bartender is waiting for customers
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The calm bartender is waiting for customers
"Base caption: The woman is laughing at something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman is laughing at something
"Base caption: Two men are calm and serious about something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two men are calm and serious about something
"Base caption: The woman is laughing at something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman is laughing at something
"Base caption: A woman looks a bit perplexed but is smiling
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A woman looks a bit perplexed but is smiling
"Base caption: The man and a woman are disappointed
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man and a woman are disappointed
"Base caption: Kids look perplexed because they are assigned to Santa's role and they don't know what to do
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Kids look perplexed because they are assigned to Santa's role and they don't know what to do
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: The woman is happy with some news
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman is happy with some news
"Base caption: Company are enjoying the time together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Company are enjoying the time together
"Base caption: The angry man is trying to shoot somebody
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The angry man is trying to shoot somebody
"Base caption: A woman is confident and smiles a bit
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A woman is confident and smiles a bit
"Base caption: The scary woman is posing for photo
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The scary woman is posing for photo
"Base caption: Two men are greeting other man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two men are greeting other man
"Base caption: The happy couple is hugging
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The happy couple is hugging
"Base caption: The woman is interrogates the man
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The woman is interrogates the man
"Base caption: The man is trying to kill the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is trying to kill the other man
"Base caption: A man is excited and distracted from the interlocutor because he is explaining the route
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",A man is excited and distracted from the interlocutor because he is explaining the route
"Base caption: The happy couple is hugging each other
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The happy couple is hugging each other
"Base caption: A man looks ambitious and initiative and asks a woman about something because he is new to the city
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A man looks ambitious and initiative and asks a woman about something because he is new to the city
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: Two men are interested in listening the radio
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two men are interested in listening the radio
"Base caption: The man is interrogates the other man
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The man is interrogates the other man
"Base caption: Man looks ironic and tells funny stories
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Man looks ironic and tells funny stories
"Base caption: Two men are having fun
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two men are having fun
"Base caption: Woman looks very annoyed and the man is tired of trying to calm her
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Woman looks very annoyed and the man is tired of trying to calm her
"Base caption: The woman is flirting with the man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman is flirting with the man
"Base caption: Man looks smiling with naughtiness and woman looks strict
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Man looks smiling with naughtiness and woman looks strict
"Base caption: Woman looks perplexed and man is intelligent and helps her
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Woman looks perplexed and man is intelligent and helps her
"Base caption: The man is trying to shoot the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is trying to shoot the other man
"Base caption: The man is shocked by something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is shocked by something
"Base caption: The man and woman are concentrated and calm
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man and woman are concentrated and calm
"Base caption: The happy man is listening to the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The happy man is listening to the woman
"Base caption: People are confused and surprised, they found some ancient artifacts
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","People are confused and surprised, they found some ancient artifacts"
"Base caption: The man and two women are happy to enjoy the time together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man and two women are happy to enjoy the time together
"Base caption: The man is shocked by the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is shocked by the other man
"Base caption: Man looks calm and smiling gently
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Man looks calm and smiling gently
"Base caption: Man is kissing his happy wife
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Man is kissing his happy wife
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: Tho guys are happy to pose for photo
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Tho guys are happy to pose for photo
"Base caption: The man is laughing at the other man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is laughing at the other man
"Base caption: Two serious men are having conversation
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two serious men are having conversation
"Base caption: A group of people is filming and actors look troubled and investigating
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",A group of people is filming and actors look troubled and investigating
"Base caption: The woman is being angry at the man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is being angry at the man
"Base caption: The group of people is laughing at something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The group of people is laughing at something
"Base caption: The company is happy to be together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The company is happy to be together
"Base caption: The group of people are having fun
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The group of people are having fun
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: Men looks tricky and enjoying their friendship
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Men looks tricky and enjoying their friendship
"Base caption: The bunch of weaponized people are escaping from the building
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The bunch of weaponized people are escaping from the building
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: The anxious man is talking on the phone
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The anxious man is talking on the phone
"Base caption: Two men are arguing
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two men are arguing
"Base caption: Woman looks smiling while thinks of some deceit
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",Woman looks smiling while thinks of some deceit
"Base caption: The woman is trying to shoot the man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is trying to shoot the man
"Base caption: The couple is happy to be with each other
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The couple is happy to be with each other
"Base caption: The man is arguing with the woman
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is arguing with the woman
"Base caption: The man and the woman are searching for something
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The man and the woman are searching for something
"Base caption: The woman is scared of something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is scared of something
"Base caption: A family looks at their dog with anxiety and caution because it seems the dog is ill
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",A family looks at their dog with anxiety and caution because it seems the dog is ill
"Base caption: Three guitarists are happy to play in the band
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Three guitarists are happy to play in the band
"Base caption: Man looks angry and decisive
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Man looks angry and decisive
"Base caption: The woman looks angry at the man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman looks angry at the man
"Base caption: Man looks keen and furious
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Man looks keen and furious
"Base caption: The calm man is talking with a concentrated soldier
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The calm man is talking with a concentrated soldier
"Base caption: The man is arguing with the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is arguing with the other man
"Base caption: A married couple looks happy because they care about each other and the husband brought breakfast in the bed to the wife
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A married couple looks happy because they care about each other and the husband brought breakfast in the bed to the wife
"Base caption: A group of people look funny and resemble a ghost hunters squad
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A group of people look funny and resemble a ghost hunters squad
"Base caption: The anxious men are looking at something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The anxious men are looking at something
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: The woman is explaining something to the child
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The woman is explaining something to the child
"Base caption: The happy man is flirting with someone
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The happy man is flirting with someone
"Base caption: The calm man is shooting out the shotgun
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The calm man is shooting out the shotgun
"Base caption: Three serious men are having a conversation
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Three serious men are having a conversation
"Base caption: The couples are glad to be together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The couples are glad to be together
"Base caption: Two man are interrogated by somebody
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two man are interrogated by somebody
"Base caption: Men pretend to look like fashion models, they try to be confident and cool
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
","Men pretend to look like fashion models, they try to be confident and cool"
"Base caption: Interested kid is smoking a cigarette
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",Interested kid is smoking a cigarette
"Base caption: The man is arguing with the woman
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is arguing with the woman
"Base caption: Woman looks pleasantly surprised and uncertain, and man looks confident and hoping
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
","Woman looks pleasantly surprised and uncertain, and man looks confident and hoping"
"Base caption: Woman looks happy to give interview
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Woman looks happy to give interview
"Base caption: Two pensive men are spending time together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two pensive men are spending time together
"Base caption: The woman is hugging the other worried woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman is hugging the other worried woman
"Base caption: Six happy men are taking a picture
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Six happy men are taking a picture
"Base caption: Three men are surprised with something while drinking beer
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Three men are surprised with something while drinking beer
"Base caption: Anxious lovers are about to kiss each other
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Anxious lovers are about to kiss each other
"Base caption: Serious people are having a good conversation
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Serious people are having a good conversation
"Base caption: The woman looks upset
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman looks upset
"Base caption: The woman supports the man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman supports the man
"Base caption: The couple is happy to sing a song together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The couple is happy to sing a song together
"Base caption: The parents are disappointed in their son decisions
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The parents are disappointed in their son decisions
"Base caption: Three men are discussing something
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",Three men are discussing something
"Base caption: Two happy men are hugging
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two happy men are hugging
"Base caption: The happy man is hugging the bunny
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The happy man is hugging the bunny
"Base caption: Guys have fun in their old company, and enjoy spending time together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
","Guys have fun in their old company, and enjoy spending time together"
"Base caption: Women are discussing something and look suspicious and mysterious
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Women are discussing something and look suspicious and mysterious
"Base caption: Serious men are guarding something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Serious men are guarding something
"Base caption: Man sings indifferently
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",Man sings indifferently
"Base caption: Two happy women are hugging each other
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two happy women are hugging each other
"Base caption: Couple of men are happy to be together and enjoy the conversation
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Couple of men are happy to be together and enjoy the conversation
"Base caption: Man looks tired and tricky, and woman  smiles widely
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","Man looks tired and tricky, and woman  smiles widely"
"Base caption: The man is kissing the happy woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is kissing the happy woman
"Base caption: The people are confused of what they saw
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The people are confused of what they saw
"Base caption: The man is arguing with the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is arguing with the other man
"Base caption: Men look aggressive, they have some conflict
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","Men look aggressive, they have some conflict"
"Base caption: The woman is flirting with the man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman is flirting with the man
"Base caption: Men are angry and harsh and beat another man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Men are angry and harsh and beat another man
"Base caption: Two men are arguing
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two men are arguing
"Base caption: One woman is sad and is crying and another tries to listen to her and comfort her
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",One woman is sad and is crying and another tries to listen to her and comfort her
"Base caption: The man is angry at somebody
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is angry at somebody
"Base caption: the woman is screaming on somebody
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",the woman is screaming on somebody
"Base caption: Weaponized soldiers are preparing for fight
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Weaponized soldiers are preparing for fight
"Base caption: The woman is flirting with the man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman is flirting with the man
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: Woman looks provocative, seductive and harsh
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","Woman looks provocative, seductive and harsh"
"Base caption: The woman is arguing with the other woman
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is arguing with the other woman
"Base caption: The woman is arguing with the man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is arguing with the man
"Base caption: The man is kissing the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is kissing the woman
